Provinsi;PPSMSp;GPP;Hotel
Aceh;58.89;0;11.08
Sumatera Utara;62.14;47.34;12.37
Sumatera Barat;52.34;44;10.72
Riau;41.61;45.87;11.46
Jambi;46.4;0;9.28
Sumatera Selatan;48.54;43.47;8.37
Bengkulu;44.28;0;9.6
Lampung;37.52;0;6.63
Bangka Belitung;41.28;51.52;8.68
Kepulauan Riau;50.24;46.42;9.22
DKI Jakarta;87.44;83.83;9.51
Jawa Barat;47.59;62.61;10.5
Jawa Tengah;31.11;42.1;7.38
D.I Yogyakarta;31.41;39.71;7.89
Jawa Timur;36.9;55.41;8.23
Banten;41.07;44.57;8.08
Bali;34.57;30.76;10.15
Nusa Tenggara Barat;32.15;0;10.86
Nusa Tenggara Timur;25.59;0;5.9
Kalimantan Barat;30.39;39.77;7.24
Kalimantan Tengah;30.63;34.57;6.82
Kalimantan Selatan;39.98;0;7.29
Kalimantan Timur;25.16;45.04;8.4
Kalimantan Utara;38.99;0;6.42
Sulawesi Utara;36.84;0;10.64
Sulawesi Tengah;43.21;0;6.37
Sulawesi Selatan;32.69;46.4;7.56
Sulawesi Tenggara;43.47;0;7.77
Gorontalo;47.84;0;8.66
Sulawesi Barat;23.57;0;5.22
Maluku;28.45;0;4.26
Maluku Utara;30.81;0;6.26
Papua Barat;47.6;0;7.08
Papua;41.41;0;4.44
